"_id",ticker,description,timestamp,open,high,low,close,volume
65c4b8f1b1a1d02887e6aea8,AAPL,Apple Inc.,2024-02-07T20:59:00.000Z,189.27999877929688,189.40499877929688,189.27999877929688,189.3699951171875,12342
65c4b8f1b1a1d02887e6aea9,AAPL,Apple Inc.,2024-02-07T20:58:00.000Z,189.32000732421875,189.32000732421875,189.27000427246094,189.28500366210938,6142
65c4b8f1b1a1d02887e6aeaa,AAPL,Apple Inc.,2024-02-07T20:57:00.000Z,189.25999450683594,189.3249969482422,189.22999572753906,189.3249969482422,4155
65c4b8f1b1a1d02887e6aeab,AAPL,Apple Inc.,2024-02-07T20:56:00.000Z,189.24000549316406,189.27999877929688,189.21499633789062,189.27999877929688,2186
65c4b8f1b1a1d02887e6aeac,AAPL,Apple Inc.,2024-02-07T20:55:00.000Z,189.2100067138672,189.26499938964844,189.2050018310547,189.22999572753906,3964
65c4b8f1b1a1d02887e6aead,AAPL,Apple Inc.,2024-02-07T20:54:00.000Z,189.35000610351562,189.35000610351562,189.1999969482422,189.1999969482422,3582
65c4b8f1b1a1d02887e6aeae,AAPL,Apple Inc.,2024-02-07T20:53:00.000Z,189.3699951171875,189.38999938964844,189.3300018310547,189.35000610351562,4538
65c4b8f1b1a1d02887e6aeaf,AAPL,Apple Inc.,2024-02-07T20:52:00.000Z,189.3699951171875,189.3699951171875,189.27499389648438,189.34500122070312,5767
65c4b8f1b1a1d02887e6aeb0,AAPL,Apple Inc.,2024-02-07T20:51:00.000Z,189.3350067138672,189.3699951171875,189.2550048828125,189.3699951171875,2577
65c4b8f1b1a1d02887e6aeb1,AAPL,Apple Inc.,2024-02-07T20:50:00.000Z,189.21499633789062,189.36000061035156,189.21499633789062,189.32000732421875,5290
65c4b8f1b1a1d02887e6aeb2,AAPL,Apple Inc.,2024-02-07T20:49:00.000Z,189.2449951171875,189.2449951171875,189.2100067138672,189.2100067138672,2302
65c4b8f1b1a1d02887e6aeb3,AAPL,Apple Inc.,2024-02-07T20:48:00.000Z,189.19000244140625,189.2449951171875,189.1750030517578,189.2449951171875,2355
65c4b8f1b1a1d02887e6aeb4,AAPL,Apple Inc.,2024-02-07T20:47:00.000Z,189.1750030517578,189.22000122070312,189.1750030517578,189.1999969482422,936
65c4b8f1b1a1d02887e6aeb5,AAPL,Apple Inc.,2024-02-07T20:46:00.000Z,189.1699981689453,189.19000244140625,189.14999389648438,189.1699981689453,2656
